Rank,Coin,Price,24h Change,Market Cap,Timestamp
1,CMC20,$159.14,0.15%,5.16%,2026-04-22 19:08:37
2,BTC,"$78,449.75",0.22%,5.91%,2026-04-22 19:08:37
3,ETH,"$2,408.22",0.18%,3.58%,2026-04-22 19:08:37
4,USDT,$1.00,0.01%,0.02%,2026-04-22 19:08:37
5,XRP,$1.45,0.18%,6.40%,2026-04-22 19:08:37
6,BNB,$644.75,0.29%,4.25%,2026-04-22 19:08:37
7,USDC,$0.9997,0.01%,0.00%,2026-04-22 19:08:38
8,SOL,$88.77,0.48%,6.13%,2026-04-22 19:08:38
9,TRX,$0.3329,0.07%,1.78%,2026-04-22 19:08:38
10,DOGE,$0.09776,0.28%,4.52%,2026-04-22 19:08:38
